date,city,cid,industry,platform,number,amount
202304,高雄市,E,專門營造業,無載具,3813,309406306
202502,高雄市,E,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,使用載具,208,172369
202502,宜蘭縣,G,旅行及相關服務業,使用載具,44,263208
202304,新竹市,O,未分類其他服務業,使用載具,746,1876406
202502,苗栗縣,K,木竹製品製造業,使用載具,401,371300
202304,花蓮縣,U,農、牧業,無載具,305,339388
202304,臺南市,D,運輸輔助業,無載具,567521,45564636
202304,臺北市,A,保險業,使用載具,9708,12732773
202502,新竹市,O,未分類其他服務業,無載具,4377,11538256
202304,南投縣,M,影片及電視節目業；聲音錄製及音樂發行業,使用載具,8505,12897080
202502,嘉義縣,Q,食品及飼品製造業,使用載具,6049,5243088
202502,臺中市,B,金融服務業,使用載具,1989,9170994
202304,臺北市,A,人力仲介及供應業,使用載具,10358,5211646
202304,宜蘭縣,G,個人及家庭用品維修業,使用載具,991,2551420
202304,新竹市,O,不動產開發業,使用載具,45998,34037656
202502,臺中市,B,石油及煤製品製造業,無載具,69285,233539612
202304,新北市,F,金融服務業,無載具,15762,41052293
202502,新竹市,O,運輸輔助業,使用載具,194305,16933811
202502,高雄市,E,紡織業,無載具,514,75337640
202304,基隆市,C,創作及藝術表演業,使用載具,67,103880
202304,臺北市,A,建築物及綠化服務業,使用載具,1136,4587866
202502,新竹縣,J,其他製造業,無載具,38,2708599
202502,新竹縣,J,砂、石採取及其他礦業,無載具,1,75600
202502,南投縣,M,其他社會工作服務業,無載具,149,195358
202304,臺南市,D,飲料製造業,使用載具,471,273333
